model_key,model_name,model_revision,tokenizer_revision,raw_id2label,anchor_text,expected_semantic_label,predicted_label_after_mapping,probability_positive,probability_neutral,probability_negative,mapping_valid,anchor_prediction_matches_expected,validation_result
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}","bagus banget, aku cocok",Positive,Positive,0.9970873272177542,0.0020201225388735674,0.0008925502433723138,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",nggak bikin iritasi sama sekali,Positive,Positive,0.9934248409870728,0.0042134069918022135,0.002361752021124899,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",worth it dan hasilnya kelihatan,Positive,Positive,0.9856651755196134,0.0049851591283738474,0.009349665352012686,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",harganya berapa?,Neutral,Negative,0.04937065562949623,0.4494936580045885,0.5011356863659153,True,False,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",belinya di mana kak?,Neutral,Neutral,0.006030670687321787,0.9671769655580512,0.026792363754627048,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",ini yang ukuran berapa ml?,Neutral,Neutral,0.004874323036236105,0.8732561243708539,0.12186955259291007,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",bikin iritasi parah,Negative,Negative,0.001216088620169484,0.0013196640374843428,0.9974642473423462,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",nggak bagus dan terlalu mahal,Negative,Negative,0.001267121517717641,0.0008933398843414945,0.9978395385979408,True,True,PASS_MAPPING
model_A,mdhugol/indonesia-bert-sentiment-classification,80ccb4c2817cf976534ac491020a9572e5dae54f,80ccb4c2817cf976534ac491020a9572e5dae54f,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",setelah pakai malah breakout,Negative,Negative,0.0009851051409642533,0.0046189556271477245,0.9943959392318881,True,True,PASS_MAPPING
model_B,w11wo/indonesian-roberta-base-sentiment-classifier,ac452dcb0f4966130bba44f4ee0013bb5d52c282,ac452dcb0f4966130bba44f4ee0013bb5d52c282,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}","bagus banget, aku cocok",Positive,Positive,0.9892585841357661,0.001955798355075257,0.008785617509158643,True,True,PASS_MAPPING
model_B,w11wo/indonesian-roberta-base-sentiment-classifier,ac452dcb0f4966130bba44f4ee0013bb5d52c282,ac452dcb0f4966130bba44f4ee0013bb5d52c282,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",nggak bikin iritasi sama sekali,Positive,Positive,0.7357209324836731,0.09398892521858215,0.17029014229774475,True,True,PASS_MAPPING
model_B,w11wo/indonesian-roberta-base-sentiment-classifier,ac452dcb0f4966130bba44f4ee0013bb5d52c282,ac452dcb0f4966130bba44f4ee0013bb5d52c282,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",worth it dan hasilnya kelihatan,Positive,Negative,0.310849217244616,0.0577455531228665,0.6314052296325174,True,False,PASS_MAPPING
model_B,w11wo/indonesian-roberta-base-sentiment-classifier,ac452dcb0f4966130bba44f4ee0013bb5d52c282,ac452dcb0f4966130bba44f4ee0013bb5d52c282,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",harganya berapa?,Neutral,Negative,0.10083561841408693,0.07750764090601985,0.8216567406798932,True,False,PASS_MAPPING
model_B,w11wo/indonesian-roberta-base-sentiment-classifier,ac452dcb0f4966130bba44f4ee0013bb5d52c282,ac452dcb0f4966130bba44f4ee0013bb5d52c282,"{""0"": ""Positive"", ""1"": ""Neutral"", ""2"": ""Negative""}",belinya di mana kak?,Neutral,Negative,0.005669434591835404,0.062335882742284965,0.9319946826658796,True,False,PASS_MAPPING
