metric,value,notes
analysis_scope,COMMENT_LEVEL_MULTI_ACCOUNT_SIMILARITY_GROUPS,Primary unit is now a multi-comment similarity group; pair rows are retained only as sampled audit evidence.
dataset_input_rows,35334,
dataset_unique_comment_id,35334,
synthetic_ids_excluded,0,comment_id beginning with INJ excluded from output similarity.
observational_comments_analyzed,35334,
unique_normalized_texts,29458,
similarity_groups,1452,Canonical multi-comment group output.
multi_account_similarity_groups,1241,
presentation_eligible_groups,907,
screenshot_eligible_groups,734,Substantive groups prioritized for platform screenshots.
group_member_rows,10770,
exact_duplicate_groups,972,
exact_duplicate_comments,6844,
cross_account_exact_groups,832,
exact_duplicate_pairs_computed_not_materialized_full,263497,
near_exact_pairs_computed_not_materialized_full,29754,
high_similarity_pairs_computed_not_materialized_full,75132,
moderate_similarity_pairs_computed_not_materialized_full,35212,
weak_candidate_pairs_computed_not_materialized_full,17883,
pair_evidence_sample_rows,5000,Pairs are capped at 5000; full pair table is no longer materialized.
full_pair_table_materialized,False,Prevents a very large pairwise CSV; use group/member outputs as canonical evidence.
screenshot_queue_rows,933,"Rows include video_url, candidate comment URL, username, and comment text for platform lookup."
community_community_pairs_computed,1843,
community_mass_pairs_computed,15933,
mass_mass_pairs_computed,398369,
similarity_pairs_also_lcn_edge,28,
similarity_pairs_pre_lcn,3527,
cross_video_pairs,342130,
cross_brand_pairs,192526,
presentation_eligible_pairs,371717,
ppt_candidate_examples,30,
execution_time_seconds,165.252,
text_neighbor_pairs_before_expansion,33645,
expanded_near_pair_rows_before_dedup,157981,
top_k_neighbors,20,
similarity_threshold,0.7,
cluster_threshold,0.85,
rapidfuzz_available,False,RapidFuzz is optional diagnostic only.
