metric,expected,observed,passed,notes
analysis_scope,OPTIONAL_DIRECT_REPLY_DIAGNOSTIC,OPTIONAL_DIRECT_REPLY_DIAGNOSTIC,True,"Reply-only layer is optional diagnostic, not the main Community-Mass account network."
dataset_rows,33847,33847,True,
synthetic_comments_excluded_from_direct_layer,0,0,True,
actor_universe,26427,26427,True,
community_actor_accounts,218,218,True,
mass_actor_accounts,26166,26166,True,
lcn_nodes,724,724,True,
lcn_edges,1357,1357,True,
lcn_community_community_edges,464,464,True,
lcn_community_mass_edges,305,305,True,
lcn_mass_mass_edges,588,588,True,
aggregate_actor_type_nodes,396,396,True,
aggregate_actor_type_edges,497,497,True,
gephi_direct_nodes_no_aggregate_hcc,0,0,True,
gephi_direct_nodes_no_mass_segments,0,0,True,
gephi_direct_edge_missing_endpoints,0,0,True,
gephi_direct_edge_type_directed,Directed,Directed,True,
source_hashes_unchanged,True,True,True,
sentiment_v2_status_for_direct_layer,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST,True,"Sentiment V2 development model is frozen, but final inference is blocked until locked-test replacement labels are complete; the direct-reply layer stores structure only."
