error_type,flag,count
Negative_to_Positive,dukungan_implisit,3
Negative_to_Positive,emoji,9
Negative_to_Positive,konteks_video_diperlukan,5
Negative_to_Positive,mixed_language,9
Negative_to_Positive,negasi,11
Negative_to_Positive,testimoni,5
Neutral_to_Positive,dukungan_implisit,2
Neutral_to_Positive,emoji,5
Neutral_to_Positive,komentar_terlalu_pendek,1
Neutral_to_Positive,konteks_video_diperlukan,6
Neutral_to_Positive,mixed_language,3
Neutral_to_Positive,negasi,7
Neutral_to_Positive,pertanyaan_positif,2
Neutral_to_Positive,testimoni,5
Positive_to_Negative,dukungan_implisit,3
Positive_to_Negative,emoji,8
Positive_to_Negative,konteks_video_diperlukan,4
Positive_to_Negative,mixed_language,7
Positive_to_Negative,negasi,13
Positive_to_Negative,testimoni,7
Positive_to_Neutral,dukungan_implisit,4
Positive_to_Neutral,emoji,11
Positive_to_Neutral,komentar_terlalu_pendek,4
Positive_to_Neutral,konteks_video_diperlukan,11
Positive_to_Neutral,mixed_language,11
Positive_to_Neutral,negasi,15
Positive_to_Neutral,pertanyaan_positif,1
Positive_to_Neutral,promosi,1
Positive_to_Neutral,testimoni,8
