seed,fold,row_index,comment_id,final_human_label,text_cluster_id,exact_duplicate_group_id,near_duplicate_cluster_id,cv_group_id
42,1,18,7168754499258401538,Positive,EXACT_TEXT_307457cf8c1af921,EXACT_TEXT_307457cf8c1af921,,exact_duplicate_group_id:EXACT_TEXT_307457cf8c1af921
42,1,22,7185353867247911706,Positive,EXACT_TEXT_467ff90148cce9e9,EXACT_TEXT_467ff90148cce9e9,,exact_duplicate_group_id:EXACT_TEXT_467ff90148cce9e9
42,1,26,7189422561767588635,Positive,EXACT_TEXT_5fa1f85a29f6b16d,EXACT_TEXT_5fa1f85a29f6b16d,,exact_duplicate_group_id:EXACT_TEXT_5fa1f85a29f6b16d
42,1,31,7205052922697155355,Neutral,EXACT_TEXT_06c6f65b201597bf,EXACT_TEXT_06c6f65b201597bf,,exact_duplicate_group_id:EXACT_TEXT_06c6f65b201597bf
42,1,32,7205454395553956635,Positive,EXACT_TEXT_e6bdcaaf5462530d,EXACT_TEXT_e6bdcaaf5462530d,,exact_duplicate_group_id:EXACT_TEXT_e6bdcaaf5462530d
42,1,33,7205541472250610438,Neutral,EXACT_GROUP_00287,EXACT_GROUP_00287,SIM_CLUSTER_00812,near_duplicate_cluster_id:SIM_CLUSTER_00812
42,1,34,7205542385199629062,Neutral,EXACT_GROUP_00287,EXACT_GROUP_00287,SIM_CLUSTER_00812,near_duplicate_cluster_id:SIM_CLUSTER_00812
42,1,36,7205945961834480390,Neutral,EXACT_TEXT_f2d00fcd44771eb6,EXACT_TEXT_f2d00fcd44771eb6,,exact_duplicate_group_id:EXACT_TEXT_f2d00fcd44771eb6
42,1,38,7206872756942603034,Negative,EXACT_TEXT_09fc8488df0807ab,EXACT_TEXT_09fc8488df0807ab,,exact_duplicate_group_id:EXACT_TEXT_09fc8488df0807ab
42,1,40,7209497283485598490,Positive,EXACT_TEXT_1125090e5d0516ae,EXACT_TEXT_1125090e5d0516ae,,exact_duplicate_group_id:EXACT_TEXT_1125090e5d0516ae
42,1,45,7215470372304028442,Neutral,EXACT_TEXT_ca8ef80efb5c90b4,EXACT_TEXT_ca8ef80efb5c90b4,,exact_duplicate_group_id:EXACT_TEXT_ca8ef80efb5c90b4
42,1,56,7225198855330267931,Neutral,EXACT_TEXT_eb48f129dda7d748,EXACT_TEXT_eb48f129dda7d748,,exact_duplicate_group_id:EXACT_TEXT_eb48f129dda7d748
42,1,57,7225220136587150106,Neutral,EXACT_TEXT_f790afa6e69fc0d7,EXACT_TEXT_f790afa6e69fc0d7,,exact_duplicate_group_id:EXACT_TEXT_f790afa6e69fc0d7
42,1,61,7228770278636192539,Positive,EXACT_TEXT_077084e6e804d2dd,EXACT_TEXT_077084e6e804d2dd,,exact_duplicate_group_id:EXACT_TEXT_077084e6e804d2dd
42,1,64,7236207709598597894,Neutral,EXACT_TEXT_291d1eb0476dd4a5,EXACT_TEXT_291d1eb0476dd4a5,,exact_duplicate_group_id:EXACT_TEXT_291d1eb0476dd4a5
