sample_set,comment_id,comment_text_original,video_id,product_category,is_hcc,hcc_id,brand_label_auto,sampling_stratum,sample_probability,sample_weight,heuristic_label_pass1,heuristic_reason_pass1,heuristic_label_pass2,heuristic_reason_pass2,heuristic_reference_label,heuristic_reference_reason,ambiguity_flags,manual_label,comment_text_model_minimal_raw,comment_text_model_social_normalized,baseline_label,baseline_confidence,emoji_only,question,negation,slang,code_mixing,very_short,potential_sarcasm,mixed_sentiment,domain_term,annotator_1_label,annotator_1_notes,annotator_2_label,annotator_2_notes,adjudicated_human_label,adjudication_notes,reference_label,reference_label_source
development,7340244606807933702,"ini purging atau breakout ka?,saran di lanjut apa di stop",7237379067773766917,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,code_mixing;question;slang,,"ini purging atau breakout ka?,saran di lanjut apa di stop","ini purging atau breakout ka?,saran di lanjut apa di stop",Negative,0.5,False,True,False,True,True,False,False,False,True,Neutral,"Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Neutral,"Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Neutral,"Kedua anotator sepakat. Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Neutral,human_adjudicated_label
development,7263057602950693637,"Tanda perlu upgrade gmna ya? Baru mau coba yg smooth.. umur 27, tipkul kering",7237379067773766917,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif sedikit lebih kuat, tetapi margin rendah.",Negative,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,,"Tanda perlu upgrade gmna ya? Baru mau coba yg smooth.. umur 27, tipkul kering","Tanda perlu upgrade gmna ya? Baru mau coba yg smooth.. umur 27, tipkul kering",Negative,0.5,False,True,False,True,False,False,False,False,True,Neutral,"Menyatakan niat/harapan mencoba produk, tetapi belum memberikan hasil pengalaman yang dapat dinilai.",Neutral,"Menyatakan niat/harapan mencoba produk, tetapi belum memberikan hasil pengalaman yang dapat dinilai.",Neutral,"Kedua anotator sepakat. Menyatakan niat/harapan mencoba produk, tetapi belum memberikan hasil pengalaman yang dapat dinilai.",Neutral,human_adjudicated_label
development,7385454151532036870,pemula aman ga pakek retinol dari azzarin yang retinol complex?,7237379067773766917,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Positive,"Orientasi positif lebih dominan berdasarkan pujian, kecocokan, dukungan, atau emoji positif.",Positive,"Orientasi positif sedikit lebih kuat, tetapi margin rendah.",Positive,Pass 1 dan pass 2 konsisten.,low_margin;question;slang,,pemula aman ga pakek retinol dari azzarin yang retinol complex?,pemula aman ga pakek retinol dari azzarin yang retinol complex?,Positive,0.5,False,True,True,True,False,False,False,False,True,Neutral,"Berisi pertanyaan teknis tentang cara, urutan, frekuensi, atau kombinasi pemakaian tanpa evaluasi yang dominan.",Neutral,"Berisi pertanyaan teknis tentang cara, urutan, frekuensi, atau kombinasi pemakaian tanpa evaluasi yang dominan.",Neutral,"Kedua anotator sepakat. Berisi pertanyaan teknis tentang cara, urutan, frekuensi, atau kombinasi pemakaian tanpa evaluasi yang dominan.",Neutral,human_adjudicated_label
development,7322418149794071301,"kalo moisturizer nya pake apa kak? rekomen dong, aku pake moist skingame daily kok finish masih ngerasa lengket",7237379067773766917,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;potential_sarcasm;question;slang,,"kalo moisturizer nya pake apa kak? rekomen dong, aku pake moist skingame daily kok finish masih ngerasa lengket","kalo moisturizer nya pake apa kak? rekomen dong, aku pake moist skingame daily kok finish masih ngerasa lengket",Unknown,0.0,False,True,True,True,False,False,True,True,True,Negative,"Nada keseluruhan menunjukkan ketidakpuasan, penolakan, kekhawatiran, atau kritik yang dominan.",Negative,"Nada keseluruhan menunjukkan ketidakpuasan, penolakan, kekhawatiran, atau kritik yang dominan.",Negative,"Kedua anotator sepakat. Nada keseluruhan menunjukkan ketidakpuasan, penolakan, kekhawatiran, atau kritik yang dominan.",Negative,human_adjudicated_label
development,7587090378680926993,"Cii, kulitku oily-combi, sensitif, bruntusan, jerawat hormonal, pori2 besar, PIE, dan PIH. Aku pakai Bioderma Sensibio Micellar Water, Skin1004 Ampoule Foam, Skin1004 Ampoule Pink, Purito Centella Wonderleaf Toner/Numbuzin No. 1 Toner, Purito Bamboo Panthenol Moisturizer, Skin1004 Hyalu-Cica Sunserum, dan seminggu sekali pakai wash-off mask Mugwort Mask I’m From itu aman gak Cii? cc @azarineskincare",7586827398084136200,azarine_retinol,True,48,Mixed_3plus_Brands,human_validated|development,1.0,1.0,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Sinyal positif dan negatif saling bertentangan atau margin terlalu rendah.,Uncertain,Pass 1 dan pass 2 konsisten.,mixed_or_low_margin;mixed_sentiment;question;slang,,"Cii, kulitku oily-combi, sensitif, bruntusan, jerawat hormonal, pori2 besar, PIE, dan PIH. Aku pakai Bioderma Sensibio Micellar Water, Skin1004 Ampoule Foam, Skin1004 Ampoule Pink, Purito Centella Wonderleaf Toner/Numbuzin No. 1 Toner, Purito Bamboo Panthenol Moisturizer, Skin1004 Hyalu-Cica Sunserum, dan seminggu sekali pakai wash-off mask Mugwort Mask I’m From itu aman gak Cii? cc @azarineskincare","Cii, kulitku oily-combi, sensitif, bruntusan, jerawat hormonal, pori2 besar, PIE, dan PIH. Aku pakai Bioderma Sensibio Micellar Water, Skin1004 Ampoule Foam, Skin1004 Ampoule Pink, Purito Centella Wonderleaf Toner/Numbuzin No. 1 Toner, Purito Bamboo Panthenol Moisturizer, Skin1004 Hyalu-Cica Sunserum, dan seminggu sekali pakai wash-off mask Mugwort Mask I’m From itu aman gak Cii? cc @USER",Unknown,0.0,False,True,True,True,False,False,False,True,True,Neutral,"Berisi pertanyaan teknis tentang cara, urutan, frekuensi, atau kombinasi pemakaian tanpa evaluasi yang dominan.",Neutral,"Berisi pertanyaan teknis tentang cara, urutan, frekuensi, atau kombinasi pemakaian tanpa evaluasi yang dominan.",Neutral,"Kedua anotator sepakat. Berisi pertanyaan teknis tentang cara, urutan, frekuensi, atau kombinasi pemakaian tanpa evaluasi yang dominan.",Neutral,human_adjudicated_label
development,7586898483333546760,"hai cii, ak pengikut baru🙌
Tolong bantu ak cii,
type kulit wajah aku berminyak tapi ngga berlebihan, komedoan, gradakan, ada bruntusan kecil², dan jg jerawat muncul 1 atau 2 ....
tolong bantu rekomendasiin ak harus pakai apa aja cii? step bay step nya apa aja, ak mau mulai dari awal ngerawat wajah aku😞",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;question;slang,,"hai cii, ak pengikut baru🙌 Tolong bantu ak cii, type kulit wajah aku berminyak tapi ngga berlebihan, komedoan, gradakan, ada bruntusan kecil², dan jg jerawat muncul 1 atau 2 .... tolong bantu rekomendasiin ak harus pakai apa aja cii? step bay step nya apa aja, ak mau mulai dari awal ngerawat wajah aku😞","hai cii, ak pengikut baru🙌 Tolong bantu ak cii, type kulit wajah aku berminyak tapi ngga berlebihan, komedoan, gradakan, ada bruntusan kecil², dan jg jerawat muncul 1 atau 2 ... tolong bantu rekomendasiin ak harus pakai apa aja cii? step bay step nya apa aja, ak mau mulai dari awal ngerawat wajah aku😞",Negative,0.5,False,True,True,True,False,False,False,True,True,Negative,Melaporkan reaksi kulit atau efek yang tidak diinginkan setelah/pada penggunaan produk.,Neutral,"Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Negative,"Adjudikasi menetapkan Negative karena keluhan, efek buruk, penolakan, atau kritik menjadi fokus utama. Bentuk pertanyaan/unsur lain tidak mengubah polaritas dominan. Melaporkan reaksi kulit atau efek yang tidak diinginkan setelah/pada penggunaan produk.",Negative,human_adjudicated_label
development,7586967063266165512,hylucica sun serum tutup biru bukanny untuk kulit yg kering ya ci? kulit wajah ak tu berminyak tapi ngga terlalu berminyak cii,7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,question;slang,,hylucica sun serum tutup biru bukanny untuk kulit yg kering ya ci? kulit wajah ak tu berminyak tapi ngga terlalu berminyak cii,hylucica sun serum tutup biru bukanny untuk kulit yg kering ya ci? kulit wajah ak tu berminyak tapi ngga terlalu berminyak cii,Negative,0.5,False,True,True,True,False,False,False,False,True,Neutral,"Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Neutral,"Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Neutral,"Kedua anotator sepakat. Berisi pertanyaan tentang kecocokan, keamanan, fungsi, atau kondisi kulit tanpa menyatakan kepuasan/ketidakpuasan yang tegas.",Neutral,human_adjudicated_label
development,7586883949931430677,"Clensing oil: skin0004 centella
Sunscreen: skin0004 hyalu cica
Moisturizer: skin0004 shooting cream centella
+skin1004 ampoule centella
Sabun: skin0004 foam centella. (3mingguan pemakaian malah gini, apa ga cocok ya ce) cc @azarineskincare",7586827398084136200,azarine_retinol,True,54,Azarine,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;slang,,"Clensing oil: skin0004 centella Sunscreen: skin0004 hyalu cica Moisturizer: skin0004 shooting cream centella +skin1004 ampoule centella Sabun: skin0004 foam centella. (3mingguan pemakaian malah gini, apa ga cocok ya ce) cc @azarineskincare","Clensing oil: skin0004 centella Sunscreen: skin0004 hyalu cica Moisturizer: skin0004 shooting cream centella +skin1004 ampoule centella Sabun: skin0004 foam centella. (3mingguan pemakaian malah gini, apa ga cocok ya ce) cc @USER",Negative,0.5,False,False,True,True,False,False,False,True,True,Negative,Menyatakan ketidakcocokan atau penolakan terhadap produk secara eksplisit.,Negative,Menyatakan ketidakcocokan atau penolakan terhadap produk secara eksplisit.,Negative,Kedua anotator sepakat. Menyatakan ketidakcocokan atau penolakan terhadap produk secara eksplisit.,Negative,human_adjudicated_label
development,7586911315824231188,"ci aku udah terapin pake yg cici rekomendasi
fw:facerinna biru
serum ampoule pink
moist: facetology panthenol 5% aku tambahin soothing cream khusus malam, facetology aku pakai pagi
ss aku skip kemaren sempet pake labore yg phisycal sunscreen tapi ga cocok diaku malah kering + numbuh close komedo jadi banyak, jadi sekarang gapake sunscreen.
terus kemaren sebelum aku pake yg cici rekomen muka aku lumayan parah bruntusan yg bener bener banyak banget dibagian pipi, dagu, jidat, sekarang better sisa kemerahan + kusam terus bagian hidung ada komedo hitam gitu ci, saran cici gimana aku harus pake apalagi selain itu, atau udah cukup terapin itu dulu aja?",7586827398084136200,azarine_retinol,False,Non-HCC,Non-HCC,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,mixed_sentiment;question;slang,,"ci aku udah terapin pake yg cici rekomendasi fw:facerinna biru serum ampoule pink moist: facetology panthenol 5% aku tambahin soothing cream khusus malam, facetology aku pakai pagi ss aku skip kemaren sempet pake labore yg phisycal sunscreen tapi ga cocok diaku malah kering + numbuh close komedo jadi banyak, jadi sekarang gapake sunscreen. terus kemaren sebelum aku pake yg cici rekomen muka aku lumayan parah bruntusan yg bener bener banyak banget dibagian pipi, dagu, jidat, sekarang better sisa kemerahan + kusam terus bagian hidung ada komedo hitam gitu ci, saran cici gimana aku harus pake apalagi selain itu, atau udah cukup terapin itu dulu aja?","ci aku udah terapin pake yg cici rekomendasi fw:facerinna biru serum ampoule pink moist: facetology panthenol 5% aku tambahin soothing cream khusus malam, facetology aku pakai pagi ss aku skip kemaren sempet pake labore yg phisycal sunscreen tapi ga cocok diaku malah kering + numbuh close komedo jadi banyak, jadi sekarang gapake sunscreen. terus kemaren sebelum aku pake yg cici rekomen muka aku lumayan parah bruntusan yg bener bener banyak banget dibagian pipi, dagu, jidat, sekarang better sisa kemerahan + kusam terus bagian hidung ada komedo hitam gitu ci, saran cici gimana aku harus pake apalagi selain itu, atau udah cukup terapin itu dulu aja?",Negative,0.5,False,True,True,True,False,False,False,True,True,Positive,Melaporkan perbaikan masalah kulit atau kondisi wajah setelah mengikuti pemakaian/saran.,Negative,Menyatakan ketidakcocokan atau penolakan terhadap produk secara eksplisit.,Uncertain,Adjudikasi menetapkan Uncertain karena bukti polaritas tidak cukup konsisten atau membutuhkan konteks tambahan. Memuat sinyal positif dan negatif yang sama-sama kuat; tidak ada polaritas yang jelas dominan.,Uncertain,human_adjudicated_label
development,7587018714543080200,"ci aku udh 2bln lbih kyanya pkai saran cici, ampoul pink udh hbis yg 50ml skrng pkai yg 100ml udh tinggal 1/4 ,moist pkai minimalis b5, fw pakai minimalis oat. skrng jrng muncul jrwat,trs KLO ada jrwat aku ttol pkai moist CPT kempes nya, bekas jrwat lumyn pudar, cuma KLO siang keliatan kusam krna berminyak bgt area t-zone ,hrus di tmbh apa y kira"" ci",7586827398084136200,azarine_retinol,True,182,Not identified,human_validated|development,1.0,1.0,Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,"Orientasi negatif lebih dominan berdasarkan keluhan, ketidakcocokan, efek buruk, atau evaluasi merugikan.",Negative,Pass 1 dan pass 2 konsisten.,question;slang,,"ci aku udh 2bln lbih kyanya pkai saran cici, ampoul pink udh hbis yg 50ml skrng pkai yg 100ml udh tinggal 1/4 ,moist pkai minimalis b5, fw pakai minimalis oat. skrng jrng muncul jrwat,trs KLO ada jrwat aku ttol pkai moist CPT kempes nya, bekas jrwat lumyn pudar, cuma KLO siang keliatan kusam krna berminyak bgt area t-zone ,hrus di tmbh apa y kira"" ci","ci aku udh 2bln lbih kyanya pkai saran cici, ampoul pink udh hbis yg 50ml skrng pkai yg 100ml udh tinggal 1/4 ,moist pkai minimalis b5, fw pakai minimalis oat. skrng jrng muncul jrwat,trs KLO ada jrwat aku ttol pkai moist CPT kempes nya, bekas jrwat lumyn pudar, cuma KLO siang keliatan kusam krna berminyak bgt area t-zone ,hrus di tmbh apa y kira"" ci",Negative,0.5,False,True,True,True,False,False,False,False,True,Positive,Melaporkan perbaikan masalah kulit atau kondisi wajah setelah mengikuti pemakaian/saran.,Uncertain,"Makna evaluatifnya ambigu, campuran, atau memerlukan konteks tambahan untuk menentukan polaritas.",Positive,Adjudikasi menetapkan Positive karena sinyal hasil baik/pujian menjadi fokus utama. Unsur negatif atau kehati-hatian dinilai sebagai konteks sekunder. Melaporkan perbaikan masalah kulit atau kondisi wajah setelah mengikuti pemakaian/saran.,Positive,human_adjudicated_label
