input_name,path,exists,sha256,n_rows,n_columns,columns
dataset,dataset.csv,True,7e0ea9cbc82243445cccea1a14ccb847c61235e932f754f5e1bc42e390df32da,33847,18,"[""product_category"", ""video_url"", ""video_id"", ""comment_type"", ""comment_id"", ""parent_comment_id"", ""parent_user"", ""reply_count"", ""expected_reply_count"", ""actual_reply_scraped"", ""thread_level"", ""user_id"", ""username"", ""text"", ""mentions"", ""hashtags"", ""timestamp"", ""source_file""]"
video_metadata,video_metadata_clean.csv,True,92d4fdf7e75dacbd658871a8503829af6a151d83005c2a6716298019bb9ad094,55,14,"[""no"", ""product_category"", ""video_url"", ""video_id"", ""creator"", ""caption"", ""hashtags"", ""mentions"", ""view_count"", ""like_count"", ""comment_count"", ""upload_date"", ""n_hashtags"", ""n_mentions""]"
gephi_hcc_nodes,output\gephi\gephi_hcc_nodes.csv,True,a87aedc3eac4d1ad2ea89bcbb5d9b9156c70aa20e26df5ad20946ab18b840bb0,218,11,"[""id"", ""label"", ""degree"", ""weighted_degree"", ""betweenness"", ""community"", ""primary_brand"", ""brand_label_auto"", ""brand_combo"", ""brand_confidence"", ""narrative_similarity_level""]"
gephi_hcc_edges,output\gephi\gephi_hcc_edges.csv,True,5f41376b5f2a262fbf077f54b1914584824055934242f8c92efcae46dd0a2213,464,9,"[""source"", ""target"", ""weight"", ""n_evidence"", ""co_conv"", ""co_reply"", ""co_temporal"", ""co_hashtag"", ""co_similarity_char5""]"
comment_sentiment,output\rm2_sentiment\tables\comment_sentiment.csv,True,8c27dadcab3e2723cf9187dd7214c0091cfe13d1333c6860ff702a47f0b4dfd2,33847,20,"[""comment_id"", ""username"", ""user_id"", ""video_id"", ""product_category"", ""comment_type"", ""parent_comment_id"", ""parent_user"", ""timestamp"", ""text_raw"", ""clean_text_light"", ""sentiment_label"", ""sentiment_score"", ""sentiment_confidence"", ""is_hcc_member"", ""community"", ""primary_brand"", ""brand_label_auto"", ""brand_combo"", ""brand_confidence""]"
hcc_sentiment_goals_summary,output\rm2_sentiment\tables\hcc_sentiment_goals_summary.csv,True,c73045cd2b0d0492760c56877e40fe07a053ace8cabf54d6f4b90b66e68a71e1,42,22,"[""hcc_id"", ""community_size"", ""n_accounts_with_comments"", ""n_comments"", ""n_valid_text_comments"", ""positive_count"", ""neutral_count"", ""negative_count"", ""positive_ratio"", ""neutral_ratio"", ""negative_ratio"", ""dominant_sentiment"", ""goal_orientation"", ""goal_confidence"", ""avg_sentiment_confidence"", ""primary_brand"", ""brand_label_auto"", ""brand_combo"", ""brand_confidence"", ""narrative_similarity_level"", ""mean_weighted_degree"", ""mean_betweenness""]"
account_actor_type,output\rm2_actor_type\tables\account_actor_type.csv,True,1cd208831fb99f311ac8c2885f7be6c44e3b4ef1f12b5e6bd337e5e0e4c0ba4b,26427,55,"[""username"", ""actor_id_anonymous"", ""display_name"", ""actor_type_primary"", ""individual_subtype"", ""is_video_creator"", ""is_verified_registry_actor"", ""individual_identification_source"", ""individual_verification_level"", ""is_hcc_member"", ""individual_in_hcc"", ""community"", ""is_lcn_member"", ""mass_position_secondary"", ""n_comments"", ""n_valid_text_comments"", ""positive_count"", ""neutral_count"", ""negative_count"", ""positive_ratio"", ""neutral_ratio"", ""negative_ratio"", ""dominant_sentiment"", ""avg_sentiment_confidence"", ""target_brand_primary"", ""target_brand_label"", ""target_scope"", ""target_source"", ""target_confidence"", ""creator_target_brand_primary"", ""creator_target_brand_label"", ""creator_target_scope"", ""creator_product_category_primary"", ""creator_video_count"", ""creator_target_confidence"", ""creator_target_source"", ""account_goal_orientation"", ""account_goal_confidence"", ""is_goal_evaluable"", ""goal_evaluation_reason"", ""exposure_level"", ""hcc_association_status"", ""primary_associated_hcc"", ""associated_hcc_ids"", ""n_associated_hcc"", ""primary_association_basis"", ""is_ambiguous_hcc_association"", ""shared_video_context_count"", ""verified_direct_interaction_count"", ""temporal_mass_comment_count"", ""temporal_hcc_comment_pair_count"", ""strong_association_score"", ""contextual_association_score"", ""sentiment_alignment"", ""hcc_dominant_sentiment""]"
individual_hcc_association,output\rm2_actor_type\tables\individual_hcc_association.csv,True,71da3b88ca2c5b8042e2a1bc83644ed85b58153d6eab678a0d21bd9ee4a39635,186,12,"[""individual_username"", ""individual_subtype"", ""hcc_id"", ""shared_video_count"", ""creator_video_count"", ""hcc_account_count"", ""hcc_comment_count"", ""first_hcc_comment_timestamp"", ""last_hcc_comment_timestamp"", ""target_brand"", ""hcc_goal_orientation"", ""association_type""]"
hcc_brand_profile_auto,output\tables\hcc_brand_profile_auto.csv,True,38197ac84f5479b0b9d220d01382dd51c08eeb770d21ddb6a3e437dcdef49d9e,42,25,"[""hcc_id"", ""community_size"", ""n_unique_hashtags"", ""primary_brand"", ""brand_label_auto"", ""brand_combo"", ""brand_confidence"", ""top_brand_score"", ""second_brand"", ""second_brand_score"", ""top_brand_share"", ""azarine_score"", ""daviena_score"", ""maryame_score"", ""the_originote_score"", ""azarine_users"", ""daviena_users"", ""maryame_users"", ""the_originote_users"", ""azarine_videos"", ""daviena_videos"", ""maryame_videos"", ""the_originote_videos"", ""top_brand_hashtags"", ""top_5_hashtags_overall""]"
community_actor_summary_optional,output\rm2_actor_type\tables\community_actor_summary.csv,True,190bcb9185f44267ff463043cdff2d8cc76ad30e684c099ab02958a04c7a60df,42,50,"[""hcc_id"", ""community_size"", ""n_accounts_with_comments"", ""n_comments"", ""n_valid_text_comments"", ""positive_count"", ""neutral_count"", ""negative_count"", ""positive_ratio"", ""neutral_ratio"", ""negative_ratio"", ""dominant_sentiment"", ""goal_orientation"", ""goal_confidence"", ""avg_sentiment_confidence"", ""primary_brand"", ""brand_label_auto"", ""brand_combo"", ""brand_confidence"", ""narrative_similarity_level"", ""mean_weighted_degree"", ""mean_betweenness"", ""total_hcc_members"", ""community_actor_accounts"", ""individual_hcc_accounts"", ""hcc_mean_degree"", ""hcc_mean_weighted_degree"", ""hcc_mean_betweenness"", ""n_mass_unique_associated"", ""mass_fractional_context_weight"", ""n_mass_many_to_many_rows"", ""shared_video_context_count"", ""verified_direct_interaction_count"", ""temporal_mass_comment_count"", ""temporal_pair_count"", ""total_relevant_mass_actors"", ""n_alignment_evaluable"", ""n_aligned"", ""n_not_aligned"", ""n_mixed_or_inconclusive"", ""n_insufficient"", ""n_ambiguous"", ""alignment_coverage"", ""alignment_rate"", ""alignment_reliability"", ""Unique Direct Association"", ""Unique Temporal Association"", ""Single Shared-Video Context"", ""Multiple / Ambiguous HCC"", ""No HCC Association""]"
