metric,expected,observed,passed,notes
training_pool_rows,806,806,True,
training_unique_comment_id,806,806,True,
training_source_V1,518,518,True,
training_source_V2,288,288,True,
model_family,model_C_human_supervised,model_C_human_supervised,True,
selected_candidate,ensemble_top2_human_supervised_development_only,ensemble_top2_human_supervised_development_only,True,
ensemble_components_unchanged,"['tfidf_char_linearsvc_social_C1_balanced', 'calibrated_linearsvc_word_char_social_C1_balanced']","['tfidf_char_linearsvc_social_C1_balanced', 'calibrated_linearsvc_word_char_social_C1_balanced']",True,
development_data_hash_unchanged,5591c7aa4892375c1176df75fa19b6eb8e4dd364a1461c2ed1dc0faf388dc43d,5591c7aa4892375c1176df75fa19b6eb8e4dd364a1461c2ed1dc0faf388dc43d,True,Training provenance file unchanged.
synthetic_ids_in_training,0,0,True,
overlap_training_locked_test_observational,0,0,True,
locked_test_predictions_generated,0,0,True,No locked-test prediction file was created or updated by this refreeze.
locked_test_labels_accessed_for_threshold_selection,False,False,True,Selection used development_oof_predictions.csv only.
locked_test_evaluation_status,BLOCKED_WAITING_FOR_8_HUMAN_ANNOTATED_REPLACEMENTS,BLOCKED_WAITING_FOR_8_HUMAN_ANNOTATED_REPLACEMENTS,True,
full_inference_generated,0,0,True,No full inference was run.
comment_sentiment_hash_unchanged,c2722117cc522345117256046ab703fe76a801b39136e65bdf53fe165cde87c7,c2722117cc522345117256046ab703fe76a801b39136e65bdf53fe165cde87c7,True,
dataset_rows,33847,33847,True,
unique_comment_id,33847,33847,True,
lcn_nodes,724,724,True,
lcn_edges,1357,1357,True,
hcc_count,42,42,True,
hcc_members,218,218,True,
actor_universe_total,26427,26427,True,
community_actor_count,218,218,True,
mass_actor_count,26166,26166,True,
aggregate_actor_type_nodes,396,396,True,
aggregate_actor_type_edges,497,497,True,
community_mass_pairs,434823,434823,True,
estimator_not_refit_model_hash_unchanged,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,True,
selected_threshold_coverage_gte_0_90,>=0.90,0.9156327543424317,True,
old_threshold_recorded,0.46,0.46,True,
new_threshold_selected_from_development_oof,0.42,0.42,True,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90
threshold_consistent_config_manifest,0.42,config=0.42; manifest=0.42,True,
model_artifact_hash_unchanged_in_config,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,True,
rm1_inputs_outputs_git_diff_clean,0,0,True,
actor_type_outputs_git_diff_clean,0,0,True,
community_mass_outputs_git_diff_clean,0,0,True,
comment_similarity_outputs_git_diff_clean,0,0,True,
sentiment_full_inference_git_diff_clean,0,0,True,
config_development_data_hash_unchanged,743bb0773571843fe8c86a610ea0fed3c40cb392730407f2a139e98611c49dee,743bb0773571843fe8c86a610ea0fed3c40cb392730407f2a139e98611c49dee,True,
manifest_development_data_hash_expected,743bb0773571843fe8c86a610ea0fed3c40cb392730407f2a139e98611c49dee,743bb0773571843fe8c86a610ea0fed3c40cb392730407f2a139e98611c49dee,True,
